código,glosa,clasificación,clasificación_normalizada
ECOS190041,ARQUEOLOGIA Y AMBIENTE: INTERACCION CULTURAL EN FUEGO-PATAGONIA DURANTE LOS ULTIMO MILENIOS,otro,otro
FP200006,"IMPLEMENTACION DE FLUJO CONTINUO DE LAS REVISTAS MAGALLANIA, ANALES DEL INSTITUTO DE LA PATAGONIA Y SOPHIA AUSTRAL PARA AUMENTAR LA VISIBILIDAD Y  LA CALIDAD DE SUS CONTENIDOS FORTALECIENDO EL COMPROMISO CON LA CIENCIA ABIERTA.",otro,otro
FOVI210059,LIQUENES SUBANTARTICOS UN NUEVO CENTINELA DEL CAMBIO CLIMATICO GLOBAL: PRIMER CURSO INTERNACIONAL Y HERBARIO VIRTUAL DE CRIPTOGAMAS DE LATITUDES ALTAS,otro,otro
FOVI210061,CONSOLIDACION DE LA RED BINACIONAL (CHILE-ARGENTINA) DE INVESTIGACION EN LA PATAGONIA AUSTRAL,otro,otro
ED230064,PODCAST ANTARTICA,otro,otro
FOVI220036,BIO INVASIONES MARINAS Y TERRESTRES EN ANTARTICA: RETOS Y OPORTUNIDADES PARA LA ERRADICACION DE ESPECIES INVASORAS.,otro,otro
FOVI220095,RED BINACIONAL BRASIL-CHILE DE COLABORACION EN DOCENCIA E INVESTIGACION EN LA ECORREGION SUBANTARTICA DE MAGALLANES,otro,otro
MEC80190113,ESTIMACION DE LA HUELLA DE CARBONO EN OVINOS DE LA REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA.,otro,otro
3180280,SETTING THE SCENE: INTERPRETING THE LANDSCAPE OF HUMAN OCCUPATION IN FUEGO-PATAGONIA (~51°-55°S) DURING THE LATEGLACIAL-HOLOCENE.,otro,otro
3220537,"PATAGONIAN GLACIERS RESPONSE TO THE HOLOCENE INTERGLACIAL CLIMATE CONDITIONS: WAS THERE AN ANALOGUE OF THE PRESENT-DAY DEGLACIATION IN THE PAST 11,700 YEARS?",otro,otro
3230152,EVOLUTION OF THE SOUTHERN WESTERLY WINDS IN SOUTHERN PATAGONIA SINCE THE LAST GLACIAL TERMINATION AND THEIR IMPLICATIONS FOR UNDERSTANDING CLIMATE EVOLUTION AT ZONAL AND HEMISPHERIC SCALE,otro,otro
